.id,n,B0hi,B0center,B0lo,B1hi,B1center,B1lo
AkatoreB,413,-3.6139111995837614,-2.106138879904811,-4.767716376561917,0.09235088240077519,0.3746518705823944,0.04076236589013951
Berwick,408,-3.613364709920918,-2.1061388799048104,-4.767716376561918,0.09189596673454864,0.37465187058239446,0.04076236589013996
Blackrock,403,-3.6022721918669256,-2.106138879904811,-4.767716376561917,0.09780605027420874,0.3746518705823944,0.04076236589014086
Broad,396,-3.617973723797589,-2.163583874310987,-4.767716376561916,0.09248854141935597,0.357256373993967,0.04076236589014
Canton,403,-3.6185095552990374,-2.106138879904811,-4.767716376561916,0.09900388166850005,0.37465187058239424,0.04076236589014
Catlins,411,-3.6151919238108223,-2.163583874310988,-4.767716376561917,0.09046846135537291,0.357256373993967,0.04076236589013988
Dempsters,330,-3.5764684361033905,-1.942316420995764,-4.681578188122815,0.0990886109141947,0.4246346370012459,0.06340069401125492
German,390,-3.610361689788686,-2.1635838743109876,-4.76656578119417,0.09415292911118002,0.3572563739939669,0.02130301522973013
Healy,389,-3.6230262522738412,-2.1636903909017304,-4.7665657811941715,0.09277366562215099,0.3590578271794338,0.021303015229730094
Kyeburn,397,-3.6145634468208785,-2.106138879904811,-4.767716376561917,0.09457198003767749,0.37465187058239424,0.040762365890140484
Little,395,-3.604367722754932,-2.106138879904811,-4.767716376561917,0.1005288314951296,0.37465187058239435,0.04076236589014022
Narrowdale,412,-3.6093111066668264,-2.105251170032573,-4.767716376561918,0.08947825597350695,0.3763690660513727,0.04076236589013993
NorthCol,406,-3.629218920498265,-2.106138879904811,-4.767716376561918,0.09174136139501234,0.3746518705823944,0.04076236589013954
Powder,400,-3.644754064008654,-2.1034613898520123,-4.767716376561918,0.09283473556820884,0.37983123597044627,0.04076236589014011
Stony,400,-3.602496162882408,-2.106138879904811,-4.767716376561917,0.09334512474375534,0.3746518705823943,0.04076236589013979
Sutton,404,-3.6001907973641893,-2.106138879904811,-4.7151339105155445,0.09844179868982662,0.37465187058239446,0.05458177794588365
Venlaw,411,-3.622483313967018,-2.247271597895118,-4.767716376561915,0.09283638229317644,0.3319140526107054,0.04076236589014032
