inference,AUC,TSS,Thresh,mean.fp,sd.fp,mean.fn,sd.fn,obs - dist
Webbuilder initial,0.8337356,0.667471199,NA,0.185901421,0.033079185,0.006143765,0.005176898,3.05
Neutral Fish correction,0.842057594,0.684115187,1.50E-05,0.146461831,0.035873884,0.007703999,0.008164671,3.17
,,,,,,,,
tm Initial,0.541972904,0.078622092,NA,0.837690857,0.089525661,0.001989092,0.002630407,24.57
tm Niche,0.634518331,0.269036662,NA,0.286183667,0.118324748,0.029313444,0.021498424,6.51
TM Fish corrected niche + Neutral,0.772395822,0.544791644,1.00E-04,0.241609675,0.100131267,0.009911676,0.009786748,5.26
,,,,,,,,
Wb * trait,0.821558781,0.643117563,NA,0.176950067,0.032407179,0.007774296,0.006032444,3.15
wb:tm Neutral Fish correction,0.828353525,0.65670705,1.50E-05,0.141438882,0.034801513,0.009243753,0.00909605,3.25
,,,,,,,,
,,,,,,,,
TM Fish corrected neutral,0.716874931,0.433749862,1.50E-04,0.305615945,0.119713777,0.01208735,0.010636148,
,,,,,,,,
No Fish correction,,,,,,,,
tm Neutral,0.592078599,0.121810682,0.00015,0.657184748,0.10974707,0.001989092,0.002630407,
tm Niche + Neutral,0.634592354,0.269184708,1.00E-08,0.657048582,0.109985973,0.001989092,0.002630407,
wb Neutral,0.834085216,0.668170431,1.00E-08,0.185267395,0.032725764,0.006143765,0.005176898,
wb:tm Neutral,0.82160813,0.64321626,1.00E-08,0.17685929,0.03255672,0.007774296,0.006032444,
