"",".id","S","L","C","B","I","T","U","CB","PCB","Gensd","Vulsd","Maxsim","mean.TL","max.TL","sd.TL","step","model","LS"
"1","AkatoreB",15,126,0.56,0.133333333333333,0.866666666666667,0,0,0.533333333333333,0,0.593193768322633,0.504675258896268,0.89390142021721,8.81249999999999,10.8645833333333,3.51169707820131,3,"gravel",8.4
"2","AkatoreB",15,12,0.0533333333333333,0.466666666666667,0.0666666666666667,0.2,0.266666666666667,0,0,2.37170824512628,1.35290692320541,0.505555555555556,1.28888888888889,2.33333333333333,0.501848435139387,NA,"observed",0.8
"3","AkatoreB",15,56,0.248888888888889,0.133333333333333,0.533333333333333,0.266666666666667,0.0666666666666667,0.266666666666667,0,0.837710201635505,1.05924191770966,0.681691729323308,6.68542897327707,9.79493670886076,3.11307346484898,NA,"webbuilder",3.73333333333333
"4","Berwick",30,257,0.285555555555556,0.1,0.833333333333333,0.0666666666666667,0,0.233333333333333,0,0.884594156808625,0.977455472269612,0.874639075487207,5.58588822185533,6.7470137657012,1.60982483197416,3,"gravel",8.56666666666667
"5","Berwick",30,18,0.02,0.166666666666667,0.1,0.166666666666667,0.566666666666667,0,0,2.38128076553169,2.38128076553169,0.28531746031746,1.28095238095238,2.42857142857143,0.479683412681317,NA,"observed",0.6
"6","Berwick",30,184,0.204444444444444,0.166666666666667,0.6,0.1,0.133333333333333,0.233333333333333,0,1.01571239244577,1.0667728752558,0.540854799322541,4.75169946472033,8.71995472511461,2.82291179015096,NA,"webbuilder",6.13333333333333
"7","Blackrock",21,133,0.301587301587302,0.238095238095238,0.666666666666667,0.0952380952380952,0,0.238095238095238,0,0.96475277788544,0.783662825341814,0.861275728240014,2.84674896710729,4.01404889013768,1.24435095323136,3,"gravel",6.33333333333333
"8","Blackrock",21,25,0.0566893424036281,0.523809523809524,0.238095238095238,0.0952380952380952,0.142857142857143,0,0,2.59747569767265,0.865609611776579,0.532539682539683,1.35034013605442,2.35714285714286,0.513046503991141,NA,"observed",1.19047619047619
"9","Blackrock",21,115,0.260770975056689,0.238095238095238,0.714285714285714,0.0476190476190476,0,0.285714285714286,0,0.960422874726897,0.857714904978958,0.652278553054951,4.44666307197835,7.03998754353994,2.36413635731534,NA,"webbuilder",5.47619047619048
"10","Broad",29,214,0.254458977407848,0.206896551724138,0.724137931034483,0.0689655172413793,0,0.241379310344828,0,1.02721170872343,0.912953222016745,0.85298592935886,3.36308571614464,4.31724700139289,1.24730240225451,3,"gravel",7.37931034482759
"11","Broad",29,28,0.0332936979785969,0.413793103448276,0.137931034482759,0.103448275862069,0.344827586206897,0.0344827586206897,0,2.5741906933923,1.25276661763104,0.38448275862069,1.28275862068966,2.5,0.520349446812457,NA,"observed",0.96551724137931
"12","Broad",29,179,0.212841854934602,0.310344827586207,0.586206896551724,0.103448275862069,0,0.275862068965517,0,1.02288046615963,1.03924558616099,0.725900922361902,4.53747423151034,7.52386075003735,2.59984357640799,NA,"webbuilder",6.17241379310345
"13","Canton",28,252,0.321428571428571,0.25,0.607142857142857,0.0357142857142857,0.107142857142857,0.285714285714286,0,0.969116143545203,0.700120833518905,0.834478675799493,3.53561316162057,5.48531520713199,1.94102271147937,3,"gravel",9
"14","Canton",28,24,0.0306122448979592,0.321428571428571,0.107142857142857,0.107142857142857,0.464285714285714,0,0,2.26123168301699,1.64116289193367,0.401785714285714,1.26105442176871,2.64285714285714,0.521780668526138,NA,"observed",0.857142857142857
"15","Canton",28,120,0.153061224489796,0.392857142857143,0.464285714285714,0.107142857142857,0.0357142857142857,0.214285714285714,0,1.28094615236843,1.13576355274178,0.694332052694753,2.90404644805805,5.75613234455219,1.84340761794895,NA,"webbuilder",4.28571428571429
"16","Catlins",23,132,0.24952741020794,0.0869565217391304,0.826086956521739,0.0869565217391304,0,0.260869565217391,0,0.950332870799831,1.06923145584533,0.87164799350154,6.22211295146078,8.57777777777778,2.22444303765824,3,"gravel",5.73913043478261
"17","Catlins",23,12,0.0226843100189036,0.304347826086957,0,0.173913043478261,0.521739130434783,0,0,2.7025287447429,1.81551256084497,0.345755693581781,1.17391304347826,2,0.38755338788159,NA,"observed",0.521739130434783
"18","Catlins",23,113,0.213610586011342,0.173913043478261,0.608695652173913,0.173913043478261,0.0434782608695652,0.260869565217391,0,1.00450008755072,1.02491408685796,0.682847731978167,5.1313132421408,7.88658572276736,2.52959536335446,NA,"webbuilder",4.91304347826087
"19","Dempsters",36,395,0.304783950617284,0.222222222222222,0.666666666666667,0.111111111111111,0,0.25,0,0.941992624254551,0.746320477130129,0.872291131723269,4.22522287108719,5.96376183143297,1.77272196928544,3,"gravel",10.9722222222222
"20","Dempsters",36,104,0.0802469135802469,0.416666666666667,0.361111111111111,0.166666666666667,0.0555555555555556,0,0,1.71941329512686,1.09080534356438,0.524344392738524,1.66381942228296,2.73697916666667,0.670958870060785,NA,"observed",2.88888888888889
"21","Dempsters",36,278,0.214506172839506,0.333333333333333,0.611111111111111,0.0277777777777778,0.0277777777777778,0.25,0,1.14100162131588,0.859880136862784,0.688645567676565,3.78079043597051,7.5035515483929,2.26487667135402,NA,"webbuilder",7.72222222222222
"22","German",21,139,0.315192743764172,0.19047619047619,0.571428571428571,0.19047619047619,0.0476190476190476,0.285714285714286,0,0.835012885727698,0.867194495274824,0.820086064728922,3.88756597819851,5.37289156626506,1.72655804844123,3,"gravel",6.61904761904762
"23","German",21,33,0.0748299319727891,0.428571428571429,0.19047619047619,0.0952380952380952,0.285714285714286,0.0476190476190476,0,1.98777253965877,1.16597775803461,0.539672232529375,1.33950216450216,2.33333333333333,0.555360609571874,NA,"observed",1.57142857142857
"24","German",21,131,0.297052154195011,0.285714285714286,0.571428571428571,0.0952380952380952,0.0476190476190476,0.333333333333333,0,0.978919463910606,0.74140963482118,0.723379176231896,3.59430481296689,7.16557257476295,2.08553842888661,NA,"webbuilder",6.23809523809524
"25","Healy",21,149,0.337868480725624,0.19047619047619,0.666666666666667,0.142857142857143,0,0.238095238095238,0,0.780791073936932,0.81319187365426,0.853129696322974,3.54121305989015,4.43108511397168,1.27608759384066,3,"gravel",7.09523809523809
"26","Healy",21,41,0.0929705215419501,0.333333333333333,0.428571428571429,0.0476190476190476,0.19047619047619,0,0,1.77041924273954,1.15074401093517,0.494047619047619,1.7002442002442,3,0.787869552525114,NA,"observed",1.95238095238095
"27","Healy",21,120,0.272108843537415,0.333333333333333,0.571428571428571,0.0952380952380952,0,0.285714285714286,0,0.966695401871758,0.868223761480875,0.728879780350369,5.91947761140744,10.6707070707071,3.95701276502191,NA,"webbuilder",5.71428571428571
"28","Kyeburn",23,181,0.342155009451796,0.173913043478261,0.782608695652174,0.0434782608695652,0,0.260869565217391,0,0.756928073824246,0.866348567102602,0.859584502776722,4.04549671295321,6.06184766038092,1.48237665643219,3,"gravel",7.8695652173913
"29","Kyeburn",23,28,0.052930056710775,0.521739130434783,0.173913043478261,0.173913043478261,0.130434782608696,0,0,2.50081155658687,1.16052695791055,0.614311594202898,1.41614906832298,3,0.615617769694898,NA,"observed",1.21739130434783
"30","Kyeburn",23,142,0.268431001890359,0.260869565217391,0.565217391304348,0.0869565217391304,0.0869565217391304,0.347826086956522,0,0.933850227551394,0.919696348511214,0.661200635503456,4.00799654544194,7.5,2.30443383199676,NA,"webbuilder",6.17391304347826
"31","Little",17,136,0.470588235294118,0.235294117647059,0.588235294117647,0.176470588235294,0,0.352941176470588,0,0.697372300138169,0.586301969977929,0.91102731690967,3.7474151032713,4.76870947773108,1.57367838872423,3,"gravel",8
"32","Little",17,29,0.100346020761246,0.470588235294118,0.0588235294117647,0.235294117647059,0.235294117647059,0,0,1.64196418151099,1.13072430565997,0.512955182072829,1.32072829131653,2.16666666666667,0.513847203858208,NA,"observed",1.70588235294118
"33","Little",17,96,0.332179930795848,0.294117647058824,0.588235294117647,0.0588235294117647,0.0588235294117647,0.352941176470588,0,0.878619744969347,0.796730310938435,0.749227191796851,2.5922371031746,3.80166170634921,1.27323157885337,NA,"webbuilder",5.64705882352941
"34","Narrowdale",21,187,0.424036281179138,0.0952380952380952,0.857142857142857,0.0476190476190476,0,0.428571428571429,0,0.671833145804391,0.685767111081762,0.877261592558306,6.03189471646717,7.22374283679767,1.87336417144439,3,"gravel",8.90476190476191
"35","Narrowdale",21,12,0.0272108843537415,0.142857142857143,0.0476190476190476,0.333333333333333,0.476190476190476,0,0,1.41862609591111,2.57026263249498,0.311791383219955,1.4047619047619,2.5,0.538958431120797,NA,"observed",0.571428571428571
"36","Narrowdale",21,65,0.147392290249433,0.285714285714286,0.380952380952381,0.238095238095238,0.0952380952380952,0.19047619047619,0,1.24669503917761,1.18223537139302,0.627869352869353,3.90139949109415,8.52671755725191,2.74415393546006,NA,"webbuilder",3.0952380952381
"37","NorthCol",25,108,0.1728,0.12,0.84,0.04,0,0.16,0,1.31408647884802,1.24067739841998,0.876175824175824,4.20171005061461,6.41237062286954,1.81392805376176,3,"gravel",4.32
"38","NorthCol",25,22,0.0352,0.32,0.2,0.16,0.32,0,0,2.93994059271701,1.83585163879585,0.542380952380952,1.37538461538462,2.38461538461538,0.516168558008074,NA,"observed",0.88
"39","NorthCol",25,109,0.1744,0.2,0.56,0.08,0.16,0.28,0,1.09772728414664,1.12922326835699,0.52843154430111,3.160888237858,5.61061456212655,1.825446120799,NA,"webbuilder",4.36
"40","Powder",27,131,0.179698216735254,0.259259259259259,0.62962962962963,0.111111111111111,0,0.259259259259259,0,1.1696992019745,1.1328001320571,0.876461885165589,2.94057683146412,4.74689339437541,1.46831680610087,3,"gravel",4.85185185185185
"41","Powder",27,30,0.0411522633744856,0.259259259259259,0.222222222222222,0.111111111111111,0.407407407407407,0,0,2.15210094129863,1.83994147064101,0.351078551078551,1.35353535353535,2.54545454545455,0.519384773061182,NA,"observed",1.11111111111111
"42","Powder",27,174,0.238683127572016,0.185185185185185,0.666666666666667,0.0740740740740741,0.0740740740740741,0.333333333333333,0,0.85894660012584,1.09751596662225,0.710183611272936,5.01730845500452,7.28111557206976,2.45429510836367,NA,"webbuilder",6.44444444444444
"43","Stony",28,310,0.395408163265306,0.178571428571429,0.785714285714286,0.0357142857142857,0,0.357142857142857,0,0.805220565780593,0.635798247172212,0.876322822814972,5.20976587906657,7.29259669267978,2.03922366984831,3,"gravel",11.0714285714286
"44","Stony",28,31,0.0395408163265306,0.428571428571429,0.142857142857143,0.107142857142857,0.321428571428571,0.0357142857142857,0,2.46243602284584,1.376176065013,0.444770408163265,1.29281135531136,2.33333333333333,0.522140655485248,NA,"observed",1.10714285714286
"45","Stony",28,145,0.184948979591837,0.285714285714286,0.678571428571429,0.0357142857142857,0,0.178571428571429,0,1.10249320097782,1.10123980783934,0.688615020907148,4.35828641433729,7.11367515424294,2.46295617144144,NA,"webbuilder",5.17857142857143
"46","Sutton",25,219,0.3504,0.2,0.76,0.04,0,0.36,0,0.84869906139619,0.717666503568695,0.869787800150971,4.01752734992708,5.08804685753279,1.57077955683359,3,"gravel",8.76
"47","Sutton",25,19,0.0304,0.52,0.12,0.04,0.32,0,0,3.95248206786169,0.872795997461947,0.529166666666667,1.168,2.2,0.39446165846632,NA,"observed",0.76
"48","Sutton",25,141,0.2256,0.32,0.6,0.04,0.04,0.28,0,1.05998121827199,0.935245173038672,0.682659244460034,4.34411388930853,7.35122674355347,2.63107859199065,NA,"webbuilder",5.64
"49","Venlaw",25,138,0.2208,0.08,0.8,0.08,0.04,0.16,0,1.13871341520418,1.01557051102223,0.861157287157287,3.35971300498507,4.60983474405482,1.20676342971264,3,"gravel",5.52
"50","Venlaw",25,15,0.024,0.24,0.08,0.2,0.48,0,0,2.20479275922049,1.92450089729875,0.269333333333333,1.31666666666667,2.5,0.530330085889911,NA,"observed",0.6
"51","Venlaw",25,139,0.2224,0.36,0.48,0.12,0.04,0.28,0,1.07171709925942,0.965879250510615,0.779659514398645,3.26576243645606,5.69281045751634,1.90716590542937,NA,"webbuilder",5.56
